asking_price_sek,land_area_sqm,living_area_sqm,number_rooms,year_published,month_published,latitude,longitude,typology_AGRICULTURAL_ESTATE,typology_APARTMENT,typology_ESTATE_WITHOUT_CULTIVATION,typology_FORESTING_ESTATE,typology_HOMESTEAD,typology_HOUSE,typology_LINKED_HOUSE,typology_OTHER,typology_PLOT,typology_ROW_HOUSE,typology_TERRACED_HOUSE,typology_TWIN_HOUSE,typology_VACATION_HOME,typology_VACATION_HOUSE,typology_WINTERIZED_VACATION_HOME
7250000.0,0.0,111.0,5.0,2024,12,63.38366,13.1591969,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2250000.0,0.0,30.0,1.0,2024,12,59.29087441956099,18.106841856206938,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3195000.0,0.0,83.0,4.0,2024,12,57.68408,12.00944,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995000.0,0.0,61.0,3.0,2024,12,59.3760264,13.4973892,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2400000.0,0.0,62.0,2.0,2024,12,57.928482766,12.5375475524,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3950000.0,0.0,161.0,4.0,2024,12,57.9489919251,12.5342778855,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1295000.0,0.0,31.0,1.0,2024,12,59.87627,17.6464252,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4250000.0,860.0,226.0,5.0,2024,12,55.66698,13.3511848,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4495000.0,0.0,103.0,4.0,2024,12,57.7005,12.1317387,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2750000.0,0.0,137.0,6.0,2024,12,59.4482754,13.4232841,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2750000.0,0.0,74.5,2.0,2024,12,57.9288331981,12.5354551527,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2495000.0,101.0,126.0,5.0,2024,12,59.36306,16.49793,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1695000.0,0.0,91.0,3.0,2024,12,59.38087291555631,13.514001546835344,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1145000.0,0.0,54.0,2.0,2024,12,56.9069449937,12.4955427407,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2150000.0,0.0,55.0,2.0,2024,12,56.2656479,12.8728561,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2750000.0,0.0,44.0,2.0,2024,12,59.2982559,18.0583382,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1695000.0,0.0,56.0,2.0,2024,12,57.92357,12.527778,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3750000.0,0.0,103.0,5.0,2024,12,59.3986168,17.87131,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2390000.0,0.0,55.0,2.0,2024,12,57.91711,12.496338,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2600000.0,0.0,73.0,4.0,2024,12,57.9305708266,12.5410450992,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3800000.0,0.0,94.0,5.0,2024,12,57.9181845314,12.4961513517,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2295000.0,0.0,56.1,2.0,2024,12,59.2340775,17.9917622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2900000.0,0.0,71.0,3.0,2024,12,57.9216516483,12.5040332973,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1200000.0,0.0,50.0,2.0,2024,12,59.375378350000005,13.517295617040261,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2250000.0,670.0,151.0,0.0,2024,12,59.5428866652944,13.476586667295287,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2250000.0,327.0,102.0,4.0,2024,12,59.41871106636112,13.681765752565251,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2850000.0,0.0,97.0,3.0,2024,12,59.38155119222913,13.5119081295788,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3300000.0,1286.0,114.0,2.0,2024,12,59.353158,13.4458003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
995000.0,797.0,139.0,3.0,2024,12,59.37859255078691,13.170457158658047,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
110000.0,0.0,24.5,1.0,2024,12,59.303965,14.1116028,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3150000.0,0.0,73.5,3.0,2024,12,59.3715445,13.4994658,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4800000.0,1044.0,173.0,6.0,2024,12,59.39775091563522,13.611293364668894,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1995000.0,0.0,53.5,2.0,2024,12,59.3736691,13.5039854,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1750000.0,0.0,39.4,1.0,2024,12,58.409462,15.5857239,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2095000.0,0.0,79.5,3.0,2024,12,59.4218063,17.8381443,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2795000.0,0.0,83.0,3.0,2024,12,59.4163437,17.8677368,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3900000.0,0.0,106.0,5.0,2024,12,59.383534061354176,13.514217408900617,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1450000.0,0.0,39.5,1.0,2024,12,59.38005,17.9164543,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1195000.0,0.0,40.7,1.0,2024,12,59.4156075,17.8350716,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1475000.0,0.0,96.0,4.0,2024,12,60.3404242221,17.5157835827,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1895000.0,0.0,40.0,1.5,2024,12,57.9216516483,12.5040332973,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1450000.0,0.0,39.2,1.0,2024,12,57.75431,11.98889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1395000.0,1386.0,151.0,4.0,2024,12,56.2245674,15.268652,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1890000.0,0.0,42.0,2.0,2024,12,59.84187,17.61621,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1650000.0,0.0,39.0,1.0,2024,12,59.8318253,17.634552,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2295000.0,542.0,87.0,4.0,2024,12,55.4080048,13.3968611,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5595000.0,1416.0,145.0,5.0,2024,12,56.7268944,12.6631279,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1585000.0,0.0,37.0,2.0,2024,12,59.4173239,17.8294979,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995000.0,0.0,61.0,2.0,2024,12,59.4568704,17.8061459,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2495000.0,0.0,79.0,3.5,2024,12,59.87822,17.6156673,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
